2026-03-18 14:59:21,318 | INFO | bob9k | Initializing shared HAT context
2026-03-18 14:59:21,321 | INFO | bob9k | RGB eyes initialized with logical pin map: {'left_r': 13, 'left_g': 19, 'left_b': 0, 'right_r': 1, 'right_g': 5, 'right_b': 6}
2026-03-18 14:59:21,321 | INFO | bob9k | LED state applied: BOOTING -> [255, 180, 0]
2026-03-18 14:59:21,330 | INFO | bob9k | Initialized shared PCA9685 motor driver at address 0x5F, frequency=50Hz
2026-03-18 14:59:21,330 | INFO | bob9k | Configured motor channel 1 on PCA outputs (15, 14)
2026-03-18 14:59:21,330 | INFO | bob9k | Configured motor channel 2 on PCA outputs (12, 13)
2026-03-18 14:59:21,331 | INFO | bob9k | Configured motor channel 3 on PCA outputs (11, 10)
2026-03-18 14:59:21,331 | INFO | bob9k | Configured motor channel 4 on PCA outputs (8, 9)
2026-03-18 14:59:21,331 | INFO | bob9k | Motor controller initialized: addr=0x5F timeout=0.75s default_speed=40 enabled_channels=[1, 2, 3, 4] invert_channels=[] reverse_drive=True
2026-03-18 14:59:21,336 | INFO | bob9k | Motors stopped
2026-03-18 14:59:21,343 | INFO | bob9k | Initialized PCA9685 servo driver at address 0x5F, frequency=50Hz, pulse=500us..2500us
2026-03-18 14:59:21,343 | INFO | bob9k | Steering controller initialized: channel=0 center=90 trim=0 range=45..135 step=10 invert=True
2026-03-18 14:59:21,344 | INFO | bob9k | Steering angle set to logical=90 physical=90
2026-03-18 14:59:21,344 | INFO | bob9k | Camera servo controller initialized: pan(ch=1 center=90 trim=0), tilt(ch=2 center=90 trim=0)
2026-03-18 14:59:21,345 | INFO | bob9k | Camera pan angle set to logical=90 physical=90
2026-03-18 14:59:21,345 | INFO | bob9k | Camera tilt angle set to logical=90 physical=90
2026-03-18 14:59:21,346 | INFO | bob9k | All switches off
2026-03-18 14:59:21,347 | INFO | bob9k | Ultrasonic sensor initialized: trigger=23 echo=24 max_distance=2.00m samples=3
2026-03-18 14:59:21,347 | INFO | bob9k | Battery monitor initialized: bus=1 addr=0x48 channel=0 vref=4.93
2026-03-18 14:59:21,347 | INFO | bob9k | Camera start: creating fresh Picamera2 instance
2026-03-18 14:59:21,519 | INFO | bob9k | Camera start: starting stream
2026-03-18 14:59:21,872 | INFO | bob9k | Camera started via picamera2 at 640x480 20fps
2026-03-18 14:59:21,873 | INFO | bob9k | Gamepad background service started.
2026-03-18 14:59:22,198 | INFO | bob9k | Telemetry background polling started at 2.00s interval
2026-03-18 14:59:22,222 | INFO | bob9k | LED state applied: READY -> [0, 255, 0]
2026-03-18 15:00:58,934 | INFO | bob9k | Initializing shared HAT context
2026-03-18 15:00:58,937 | INFO | bob9k | RGB eyes initialized with logical pin map: {'left_r': 13, 'left_g': 19, 'left_b': 0, 'right_r': 1, 'right_g': 5, 'right_b': 6}
2026-03-18 15:00:58,937 | INFO | bob9k | LED state applied: BOOTING -> [255, 180, 0]
2026-03-18 15:00:58,946 | INFO | bob9k | Initialized shared PCA9685 motor driver at address 0x5F, frequency=50Hz
2026-03-18 15:00:58,946 | INFO | bob9k | Configured motor channel 1 on PCA outputs (15, 14)
2026-03-18 15:00:58,946 | INFO | bob9k | Configured motor channel 2 on PCA outputs (12, 13)
2026-03-18 15:00:58,946 | INFO | bob9k | Configured motor channel 3 on PCA outputs (11, 10)
2026-03-18 15:00:58,947 | INFO | bob9k | Configured motor channel 4 on PCA outputs (8, 9)
2026-03-18 15:00:58,947 | INFO | bob9k | Motor controller initialized: addr=0x5F timeout=0.75s default_speed=40 enabled_channels=[1, 2, 3, 4] invert_channels=[] reverse_drive=True
2026-03-18 15:00:58,952 | INFO | bob9k | Motors stopped
2026-03-18 15:00:58,959 | INFO | bob9k | Initialized PCA9685 servo driver at address 0x5F, frequency=50Hz, pulse=500us..2500us
2026-03-18 15:00:58,959 | INFO | bob9k | Steering controller initialized: channel=0 center=90 trim=0 range=45..135 step=10 invert=True
2026-03-18 15:00:58,960 | INFO | bob9k | Steering angle set to logical=90 physical=90
2026-03-18 15:00:58,960 | INFO | bob9k | Camera servo controller initialized: pan(ch=1 center=90 trim=0), tilt(ch=2 center=90 trim=0)
2026-03-18 15:00:58,960 | INFO | bob9k | Camera pan angle set to logical=90 physical=90
2026-03-18 15:00:58,961 | INFO | bob9k | Camera tilt angle set to logical=90 physical=90
2026-03-18 15:00:58,961 | INFO | bob9k | All switches off
2026-03-18 15:00:58,962 | INFO | bob9k | Ultrasonic sensor initialized: trigger=23 echo=24 max_distance=2.00m samples=3
2026-03-18 15:00:58,962 | INFO | bob9k | Battery monitor initialized: bus=1 addr=0x48 channel=0 vref=4.93
2026-03-18 15:00:58,963 | INFO | bob9k | Camera start: creating fresh Picamera2 instance
2026-03-18 15:00:59,131 | INFO | bob9k | Camera start: starting stream
2026-03-18 15:00:59,484 | INFO | bob9k | Camera started via picamera2 at 640x480 20fps
2026-03-18 15:00:59,485 | INFO | bob9k | Gamepad background service started.
2026-03-18 15:00:59,587 | INFO | bob9k | Tracking background service started. detector=face
2026-03-18 15:00:59,751 | INFO | bob9k | Tracking stats: fps=0.00 rss_mb=107.0 detector=face status=ready detections=0 clients=0 tracking=False
2026-03-18 15:00:59,814 | INFO | bob9k | Telemetry background polling started at 2.00s interval
2026-03-18 15:00:59,832 | INFO | bob9k | LED state applied: READY -> [0, 255, 0]
2026-03-18 15:01:10,080 | INFO | bob9k | Tracking stats: fps=5.35 rss_mb=136.1 detector=face status=ready detections=0 clients=0 tracking=False
2026-03-18 15:01:20,439 | INFO | bob9k | Tracking stats: fps=5.35 rss_mb=136.1 detector=face status=ready detections=0 clients=0 tracking=False
2026-03-18 15:01:28,041 | INFO | bob9k | Camera pan angle set to logical=92 physical=92
2026-03-18 15:01:28,095 | INFO | bob9k | Camera pan angle set to logical=94 physical=94
2026-03-18 15:01:28,147 | INFO | bob9k | Camera pan angle set to logical=96 physical=96
2026-03-18 15:01:28,495 | INFO | bob9k | Camera pan angle set to logical=98 physical=98
2026-03-18 15:01:28,547 | INFO | bob9k | Camera pan angle set to logical=100 physical=100
2026-03-18 15:01:28,600 | INFO | bob9k | Camera pan angle set to logical=102 physical=102
2026-03-18 15:01:28,967 | INFO | bob9k | Camera pan angle set to logical=104 physical=104
2026-03-18 15:01:29,021 | INFO | bob9k | Camera pan angle set to logical=106 physical=106
2026-03-18 15:01:29,072 | INFO | bob9k | Camera pan angle set to logical=108 physical=108
2026-03-18 15:01:29,472 | INFO | bob9k | Camera pan angle set to logical=110 physical=110
2026-03-18 15:01:29,524 | INFO | bob9k | Camera pan angle set to logical=112 physical=112
2026-03-18 15:01:29,578 | INFO | bob9k | Camera pan angle set to logical=114 physical=114
2026-03-18 15:01:29,961 | INFO | bob9k | Camera pan angle set to logical=116 physical=116
2026-03-18 15:01:30,015 | INFO | bob9k | Camera pan angle set to logical=118 physical=118
2026-03-18 15:01:30,067 | INFO | bob9k | Camera pan angle set to logical=120 physical=120
2026-03-18 15:01:30,428 | INFO | bob9k | Camera pan angle set to logical=122 physical=122
2026-03-18 15:01:30,480 | INFO | bob9k | Camera pan angle set to logical=124 physical=124
2026-03-18 15:01:30,483 | INFO | bob9k | Tracking stats: fps=5.15 rss_mb=138.6 detector=face status=ready detections=0 clients=1 tracking=True
2026-03-18 15:01:30,534 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:30,908 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:30,909 | INFO | bob9k | Camera tilt angle set to logical=94 physical=94
2026-03-18 15:01:30,963 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:30,964 | INFO | bob9k | Camera tilt angle set to logical=98 physical=98
2026-03-18 15:01:31,016 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:31,016 | INFO | bob9k | Camera tilt angle set to logical=102 physical=102
2026-03-18 15:01:32,612 | INFO | bob9k | Camera pan angle set to logical=128 physical=128
2026-03-18 15:01:32,666 | INFO | bob9k | Camera pan angle set to logical=130 physical=130
2026-03-18 15:01:32,717 | INFO | bob9k | Camera pan angle set to logical=132 physical=132
2026-03-18 15:01:33,018 | INFO | bob9k | Camera pan angle set to logical=134 physical=134
2026-03-18 15:01:33,070 | INFO | bob9k | Camera pan angle set to logical=136 physical=136
2026-03-18 15:01:33,124 | INFO | bob9k | Camera pan angle set to logical=138 physical=138
2026-03-18 15:01:33,410 | INFO | bob9k | Camera pan angle set to logical=140 physical=140
2026-03-18 15:01:33,709 | INFO | bob9k | Camera pan angle set to logical=138 physical=138
2026-03-18 15:01:33,761 | INFO | bob9k | Camera pan angle set to logical=136 physical=136
2026-03-18 15:01:34,055 | INFO | bob9k | Camera pan angle set to logical=134 physical=134
2026-03-18 15:01:34,107 | INFO | bob9k | Camera pan angle set to logical=132 physical=132
2026-03-18 15:01:34,160 | INFO | bob9k | Camera pan angle set to logical=130 physical=130
2026-03-18 15:01:34,438 | INFO | bob9k | Camera pan angle set to logical=128 physical=128
2026-03-18 15:01:34,491 | INFO | bob9k | Camera pan angle set to logical=126 physical=126
2026-03-18 15:01:34,543 | INFO | bob9k | Camera pan angle set to logical=124 physical=124
2026-03-18 15:01:34,848 | INFO | bob9k | Camera pan angle set to logical=122 physical=122
2026-03-18 15:01:34,899 | INFO | bob9k | Camera pan angle set to logical=120 physical=120
2026-03-18 15:01:34,953 | INFO | bob9k | Camera pan angle set to logical=118 physical=118
2026-03-18 15:01:35,264 | INFO | bob9k | Camera pan angle set to logical=116 physical=116
2026-03-18 15:01:35,318 | INFO | bob9k | Camera pan angle set to logical=114 physical=114
2026-03-18 15:01:35,369 | INFO | bob9k | Camera pan angle set to logical=112 physical=112
2026-03-18 15:01:35,669 | INFO | bob9k | Camera pan angle set to logical=108 physical=108
2026-03-18 15:01:35,670 | INFO | bob9k | Camera tilt angle set to logical=103 physical=103
2026-03-18 15:01:35,721 | INFO | bob9k | Camera pan angle set to logical=104 physical=104
2026-03-18 15:01:35,722 | INFO | bob9k | Camera tilt angle set to logical=104 physical=104
2026-03-18 15:01:35,776 | INFO | bob9k | Camera pan angle set to logical=100 physical=100
2026-03-18 15:01:35,777 | INFO | bob9k | Camera tilt angle set to logical=105 physical=105
2026-03-18 15:01:37,267 | INFO | bob9k | Camera pan angle set to logical=98 physical=98
2026-03-18 15:01:37,319 | INFO | bob9k | Camera pan angle set to logical=96 physical=96
2026-03-18 15:01:37,373 | INFO | bob9k | Camera pan angle set to logical=94 physical=94
2026-03-18 15:01:37,654 | INFO | bob9k | Camera pan angle set to logical=92 physical=92
2026-03-18 15:01:37,708 | INFO | bob9k | Camera pan angle set to logical=90 physical=90
2026-03-18 15:01:37,760 | INFO | bob9k | Camera pan angle set to logical=88 physical=88
